particula_id,paso,x,y,tipo,carga,masa
0,0,0.0,2.5,Infectada,1.12202997048827e-06,1.685595153449124
0,1,0.0006761062656553437,2.300138608849423,Infectada,1.12202997048827e-06,1.685595153449124
0,2,0.00221848905877665,2.1003961921810945,Infectada,1.12202997048827e-06,1.685595153449124
0,3,0.004855896410913254,1.9007147277259804,Infectada,1.12202997048827e-06,1.685595153449124
0,4,0.008845350398017433,1.7009861208585302,Infectada,1.12202997048827e-06,1.685595153449124
0,5,0.014460774077335353,1.501051333373525,Infectada,1.12202997048827e-06,1.685595153449124
0,6,0.021992063494959996,1.30071045658323,Infectada,1.12202997048827e-06,1.685595153449124
0,7,0.03176027327281629,1.0997389477420905,Infectada,1.12202997048827e-06,1.685595153449124
0,8,0.044145947965942456,0.8979096272614412,Infectada,1.12202997048827e-06,1.685595153449124
0,9,0.059621130034075334,0.6950280153708928,Infectada,1.12202997048827e-06,1.685595153449124
0,10,0.07876623131920521,0.49099072500590796,Infectada,1.12202997048827e-06,1.685595153449124
0,11,0.10224167905725204,0.2858630826685228,Infectada,1.12202997048827e-06,1.685595153449124
0,12,0.1306925296494319,0.0799426281726667,Infectada,1.12202997048827e-06,1.685595153449124
0,13,0.16460667742016327,-0.12623641252394857,Infectada,1.12202997048827e-06,1.685595153449124
0,14,0.20417736697839833,-0.3319692759735168,Infectada,1.12202997048827e-06,1.685595153449124
0,15,0.24920322368409042,-0.5365038650055979,Infectada,1.12202997048827e-06,1.685595153449124
0,16,0.29906236686517934,-0.7392183427819573,Infectada,1.12202997048827e-06,1.685595153449124
0,17,0.3528362754299137,-0.9398048780464072,Infectada,1.12202997048827e-06,1.685595153449124
0,18,0.4095696207706733,-1.1383167442417848,Infectada,1.12202997048827e-06,1.685595153449124
0,19,0.468477009131766,-1.3350366563084148,Infectada,1.12202997048827e-06,1.685595153449124
0,20,0.5289889455195568,-1.5303125465182772,Infectada,1.12202997048827e-06,1.685595153449124
0,21,0.590707508320009,-1.7244639934816226,Infectada,1.12202997048827e-06,1.685595153449124
0,22,0.6533513936878206,-1.917751722076619,Infectada,1.12202997048827e-06,1.685595153449124
0,23,0.7167162460004413,-2.1103771403006863,Infectada,1.12202997048827e-06,1.685595153449124
0,24,0.7806498173409798,-2.3024918787927806,Infectada,1.12202997048827e-06,1.685595153449124
0,25,0.8450366039138764,-2.494208912702798,Infectada,1.12202997048827e-06,1.685595153449124
0,26,0.9097879002428655,-2.68561234143355,Infectada,1.12202997048827e-06,1.685595153449124
1,0,0.0,2.5,Sana,8.797255461723458e-07,1
1,1,0.0008935337902424253,2.3001831837639695,Sana,8.797255461723458e-07,1
1,2,0.0029317061968132828,2.1005233094641627,Sana,8.797255461723458e-07,1
1,3,0.006416016417845338,1.9009428910118007,Sana,8.797255461723458e-07,1
1,4,0.011684271726109542,1.7012975726037158,Sana,8.797255461723458e-07,1
1,5,0.01909530734205448,1.5013747317507695,Sana,8.797255461723458e-07,1
1,6,0.029028109179386613,1.3009061038972627,Sana,8.797255461723458e-07,1
1,7,0.041903301166349674,1.0995876989797029,Sana,8.797255461723458e-07,1
1,8,0.05822418121865961,0.8971064127317203,Sana,8.797255461723458e-07,1
1,9,0.07862693861618558,0.6931844003692572,Sana,8.797255461723458e-07,1
1,10,0.1039171073536794,0.48765797093216057,Sana,8.797255461723458e-07,1
1,11,0.13504906676192224,0.28059305452135386,Sana,8.797255461723458e-07,1
1,12,0.1730064828880852,0.07239582593129709,Sana,8.797255461723458e-07,1
1,13,0.2185984569642209,-0.13615147632828697,Sana,8.797255461723458e-07,1
1,14,0.27223780845418716,-0.3439562675756508,Sana,8.797255461723458e-07,1
1,15,0.33373680164142155,-0.5497735442685872,Sana,8.797255461723458e-07,1
1,16,0.4021673253130239,-0.7524994498889059,Sana,8.797255461723458e-07,1
1,17,0.47600141959080683,-0.9515773034825512,Sana,8.797255461723458e-07,1
1,18,0.5536367170658256,-1.1471558713053427,Sana,8.797255461723458e-07,1
1,19,0.6338405025277176,-1.3397990265477173,Sana,8.797255461723458e-07,1
1,20,0.7158032197210814,-1.5301365291852052,Sana,8.797255461723458e-07,1
1,21,0.7990130162342675,-1.7187052023726919,Sana,8.797255461723458e-07,1
1,22,0.8831386904083706,-1.9059205976918094,Sana,8.797255461723458e-07,1
1,23,0.967956753222174,-2.0920936325359962,Sana,8.797255461723458e-07,1
1,24,1.0533101581850153,-2.277454943362581,Sana,8.797255461723458e-07,1
1,25,1.1390848705423622,-2.4621760732932674,Sana,8.797255461723458e-07,1
1,26,1.2251959887281212,-2.646385650026578,Sana,8.797255461723458e-07,1
2,0,0.0,2.5,Infectada,1.2826314035162618e-06,1.6664580622368363
2,1,0.0007817560611773518,2.300160268161491,Infectada,1.2826314035162618e-06,1.6664580622368363
2,2,0.002565060524741684,2.1004579773138397,Infectada,1.2826314035162618e-06,1.6664580622368363
2,3,0.005614060974333135,1.900825696323299,Infectada,1.2826314035162618e-06,1.6664580622368363
2,4,0.010225146390901281,1.7011378015918897,Infectada,1.2826314035162618e-06,1.6664580622368363
2,5,0.016713689352540136,1.5012093653454375,Infectada,1.2826314035162618e-06,1.6664580622368363
2,6,0.025413119474619418,1.3008075116276483,Infectada,1.2826314035162618e-06,1.6664580622368363
2,7,0.03669308169889868,1.0996695399026846,Infectada,1.2826314035162618e-06,1.6664580622368363
2,8,0.050993710939430496,0.8975273316369374,Infectada,1.2826314035162618e-06,1.6664580622368363
2,9,0.06886595445589598,0.6941472648304858,Infectada,1.2826314035162618e-06,1.6664580622368363
