particula_id,paso,x,y,tipo,carga
0,0,-0.050183952461055004,2.5,Infectada,1.5943065614302077e-06
0,1,-0.04852788613337471,2.300436942918526,Infectada,1.5943065614302077e-06
0,2,-0.044731833126339965,2.101287819689992,Infectada,1.5943065614302077e-06
0,3,-0.03821467812124849,1.9024292213595153,Infectada,1.5943065614302077e-06
0,4,-0.02833576241695367,1.7036038676897434,Infectada,1.5943065614302077e-06
0,5,-0.014436824152383941,1.5044200234256229,Infectada,1.5943065614302077e-06
0,6,0.004149389154668165,1.3043796288739058,Infectada,1.5943065614302077e-06
0,7,0.028140938191397992,1.1029138416447106,Infectada,1.5943065614302077e-06
0,8,0.05839448395622533,0.8994194347049074,Infectada,1.5943065614302077e-06
0,9,0.09603055687508094,0.6933165161940347,Infectada,1.5943065614302077e-06
0,10,0.14257861921283288,0.4841716315135043,Infectada,1.5943065614302077e-06
0,11,0.20008165885757417,0.27193586603041997,Infectada,1.5943065614302077e-06
0,12,0.2710405800344563,0.057289795679365846,Infectada,1.5943065614302077e-06
0,13,0.35811906502831736,-0.15802717227391505,Infectada,1.5943065614302077e-06
0,14,0.4636755954908295,-0.37098512265768435,Infectada,1.5943065614302077e-06
0,15,0.5889803528883335,-0.5770072197388667,Infectada,1.5943065614302077e-06
0,16,0.73211096687574,-0.7702418532147012,Infectada,1.5943065614302077e-06
0,17,0.8857177115708477,-0.9477828614324201,Infectada,1.5943065614302077e-06
0,18,1.0429652344655205,-1.112941096054131,Infectada,1.5943065614302077e-06
0,19,1.2010886297442167,-1.2697795015873028,Infectada,1.5943065614302077e-06
0,20,1.359208311621773,-1.4209967706352957,Infectada,1.5943065614302077e-06
0,21,1.5170619080192733,-1.5682702533299366,Infectada,1.5943065614302077e-06
0,22,1.674589602921582,-1.712672962652996,Infectada,1.5943065614302077e-06
0,23,1.8317994734290324,-1.8549199687098195,Infectada,1.5943065614302077e-06
0,24,1.9887208575620234,-1.9955060073431319,Infectada,1.5943065614302077e-06
0,25,2.1453875078363507,-2.134784492513121,Infectada,1.5943065614302077e-06
0,26,2.3018315662111184,-2.2730147950787316,Infectada,1.5943065614302077e-06
0,27,2.458081656603597,-2.410391686508695,Infectada,1.5943065614302077e-06
0,28,2.614162562798802,-2.5470643389727297,Infectada,1.5943065614302077e-06
1,0,-0.1375925438230254,2.5,Sana,1.2569089569224075e-06
1,1,-0.1362404027657224,2.3005007829865267,Sana,1.2569089569224075e-06
1,2,-0.13310644403969207,2.1015278832344046,Sana,1.2569089569224075e-06
1,3,-0.12766421073649867,1.9030206130860507,Sana,1.2569089569224075e-06
1,4,-0.11933530477386936,1.70479625325642,Sana,1.2569089569224075e-06
1,5,-0.10754554871641078,1.506554540364103,Sana,1.2569089569224075e-06
1,6,-0.09174745214870306,1.3079171048936313,Sana,1.2569089569224075e-06
1,7,-0.0713954712585535,1.108472333862304,Sana,1.2569089569224075e-06
1,8,-0.04589088111180699,0.9078142205931561,Sana,1.2569089569224075e-06
